Intern L1;Intern L2;Intern ID;Ensiffrig SNI;Tvåsiffrig SNI;Tresiffrig SNI;Fyrsiffrig SNI;Femsiffrig SNI
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.11 Odling av spannmål (utom ris), baljväxter och oljeväxter;01.110 Odling av spannmål (utom ris), baljväxter och oljeväxter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.12 Odling av ris;01.120 Odling av ris
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.13 Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar;01.131 Potatisodling
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.13 Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar;01.132 Sockerbetsodling
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.13 Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar;01.133 Odling av grönsaker (köksväxter) på friland
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.13 Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar;01.134 Odling av grönsaker (köksväxter) i växthus
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.13 Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar;01.135 Svampodling m.m.
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.14 Odling av sockerrör;01.140 Odling av sockerrör
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.15 Odling av tobak;01.150 Odling av tobak
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.16 Odling av fiberväxter;01.160 Odling av fiberväxter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.19 Odling av andra ett- och tvååriga växter;01.191 Odling av prydnadsväxter i växthus
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.1 Odling av ett- och tvååriga växter;01.19 Odling av andra ett- och tvååriga växter;01.199 Odling av övriga ett- och tvååriga växter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.21 Odling av druvor;01.210 Odling av druvor
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.22 Odling av tropiska och subtropiska frukter;01.220 Odling av tropiska och subtropiska frukter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.23 Odling av citrusfrukter;01.230 Odling av citrusfrukter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.24 Odling av kärnfrukter och stenfrukter;01.240 Odling av kärnfrukter och stenfrukter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.25 Odling av andra frukter och bär samt nötter;01.250 Odling av andra frukter och bär samt nötter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.26 Odling av oljehaltiga frukter;01.260 Odling av oljehaltiga frukter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.27 Odling av växter för dryckesframställning;01.270 Odling av växter för dryckesframställning
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.28 Odling av kryddväxter, drog- och medicinalväxter;01.280 Odling av kryddväxter, drog- och medicinalväxter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.2 Odling av fleråriga växter;01.29 Odling av andra fleråriga växter;01.290 Odling av andra fleråriga växter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.3 Odling av plantskoleväxter;01.30 Odling av plantskoleväxter;01.301 Odling av plantskoleväxter i växthus
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.3 Odling av plantskoleväxter;01.30 Odling av plantskoleväxter;01.302 Odling av plantskoleväxter m.m. på friland
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.41 Mjölkproduktion och uppfödning av nötkreatur av mjölkras;01.410 Mjölkproduktion och uppfödning av nötkreatur av mjölkras
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.42 Uppfödning av andra nötkreatur och bufflar;01.420 Uppfödning av andra nötkreatur och bufflar
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.43 Uppfödning av hästar och andra hästdjur;01.430 Uppfödning av hästar och andra hästdjur
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.44 Uppfödning av kameler och kameldjur;01.440 Uppfödning av kameler och kameldjur
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.45 Uppfödning av får och getter;01.450 Uppfödning av får och getter
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.46 Uppfödning av svin;01.461 Uppfödning av smågrisar
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.46 Uppfödning av svin;01.462 Uppfödning av slaktsvin
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.47 Äggproduktion och uppfödning av fjäderfä;01.471 Äggproduktion (för försäljning)
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.47 Äggproduktion och uppfödning av fjäderfä;01.472 Uppfödning av fjäderfä, ej äggproduktion
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.49 Uppfödning av andra djur;01.491 Renskötsel
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.49 Uppfödning av andra djur;01.492 Uppfödning av sällskapsdjur
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.4 Husdjursskötsel;01.49 Uppfödning av andra djur;01.499 Övrig uppfödning av andra djur
1. Naturbruk;1.1 Övrig naturbruk;1;A Jordbruk, skogsbruk och fiske;01. Jordbruk och jakt samt service i anslutning härtill;01.5 Blandat jordbruk;01.50 Blandat jordbruk;01.500 Blandat jordbruk
